search_time_min,skill_diff_mr
8.881558,1322.0267
9.192537,1377.1023
4.1372056,567.9999
9.613403,1649.2339
4.209258,587.26245
6.2085056,1076.3838
2.9374385,507.8601
8.039593,1306.0558
9.437329,1515.3151
1.7652663,348.6448
9.378682,1429.6906
6.1390066,1012.2889
8.759342,1224.227
5.8932953,1021.70526
7.5403934,1219.9839
4.579343,766.24744
8.911708,1507.57
5.952092,959.7982
3.0325105,446.8605
6.460767,942.8931
3.061501,441.8021
4.692954,622.64166
3.3207479,490.66467
8.401012,1301.4353
1.5004916,131.81958
3.060201,516.4936
3.90872,483.08743
2.3939557,357.71933
5.69832,850.72784
0.55852413,68.9468
9.539768,1414.328
1.2150259,378.62555
8.91713,1415.8348
6.040491,744.27466
3.7076535,489.54507
8.185263,1200.0903
5.990291,967.8637
9.087826,1320.2817
5.7692685,926.9991
3.7519774,745.6944
6.5262475,1109.7599
3.9618976,693.16785
7.2490735,1235.0282
9.490905,1425.0242
7.995783,1245.7466
3.1734304,497.43106
7.9920073,1203.0896
6.0999,852.3588
7.662216,1149.5087
2.354851,340.0932
0.54793483,118.764305
3.4147875,693.6833
1.6066415,332.29703
9.14756,1550.6176
6.618149,964.2021
7.2175145,1175.5131
6.7522407,897.1034
5.167369,792.1033
8.967389,1316.9519
1.8750604,328.56836
5.5490775,818.50055
2.007934,330.00415
6.714672,1043.8721
3.6141841,612.27325
6.705477,1071.74
4.260378,670.16943
9.189611,1452.7145
2.434666,379.19376
2.4171095,398.65674
2.4169385,414.9335
9.522353,1477.2363
6.832943,1074.1283
9.820691,1565.7106
1.3299378,201.20786
0.5385884,116.84749
1.5337721,328.8023
2.0547268,376.2439
7.1739407,1103.7444
6.9508605,1146.244
9.196891,1439.0375
2.7969794,326.35657
2.011869,330.85446
7.770246,1180.3169
3.3300288,724.29065
8.132888,1348.1053
4.122822,555.1963
7.967218,1245.02
1.559402,357.7885
2.8529136,452.95352
6.698163,1034.3904
6.2541857,891.685
4.038946,579.50507
8.08133,1334.0979
8.479094,1311.1698
1.8054266,375.56696
2.714126,514.0303
9.599394,1417.2245
3.6471956,622.119
3.5660472,649.3109
0.65392554,59.020004
2.5298164,471.5364
6.4365673,1150.1083
4.6230326,751.1938
1.8020415,340.87225
5.361419,905.2346
2.0053627,363.58752
1.2201159,374.60114
2.6343524,495.29828
1.0927427,174.1024
2.2254941,369.24167
9.998142,1532.7612
6.1471562,1037.3707
6.7137585,1021.8425
0.8197496,-12.474091
2.1303244,473.11526
3.6689348,618.15405
5.9927626,845.5247
1.0703738,224.06567
3.2033532,463.89398
2.4063244,345.91284
5.2631636,873.9582
3.4825096,601.8447
4.920845,849.2306
2.0312588,449.02658
1.989623,355.08502
2.4788415,455.5878
3.624087,620.9609
1.5009158,59.010773
9.232732,1446.2279
4.307296,701.78265
9.3368845,1495.601
6.730015,1013.21136
1.2277143,135.76273
8.537168,1498.0043
3.943062,711.52216
3.4292011,590.42645
1.3071651,249.58646
0.5277369,244.7064
6.6090255,1059.916
4.212392,722.37866
7.0992846,1041.4717
1.3518486,286.42252
8.776539,1336.9722
1.7632447,252.91757
4.4298015,724.47473
6.242131,925.3476
7.702196,1110.0847
9.084724,1474.7572
9.577057,1411.0594
1.4836198,286.3869
6.4454193,866.29614
